season,division,matchday,date,time,home_team,away_team,score
1928-1929,1,1,2/10/29,NULL,Arenas Club,Athletic Madrid,2:3
1928-1929,1,1,2/10/29,NULL,Espanyol,Real Unión,3:2
1928-1929,1,1,2/10/29,NULL,Real Madrid,Catalunya,5:0
1928-1929,1,1,2/10/29,NULL,Donostia,Athletic,1:1
1928-1929,1,1,2/12/29,NULL,Racing,Barcelona,0:2
1928-1929,1,2,2/17/29,NULL,Barcelona,Real Madrid,1:2
1928-1929,1,2,2/17/29,NULL,Athletic,Espanyol,9:0
1928-1929,1,2,2/17/29,NULL,Athletic Madrid,Donostia,0:3
1928-1929,1,2,2/17/29,NULL,Real Unión,Racing,3:1
1928-1929,1,2,2/17/29,NULL,Catalunya,Arenas Club,5:2
1928-1929,1,3,2/24/29,NULL,Donostia,Barcelona,3:0
1928-1929,1,3,2/24/29,NULL,Espanyol,Catalunya,3:1
1928-1929,1,3,2/24/29,NULL,Arenas Club,Real Unión,1:1
1928-1929,1,3,2/24/29,NULL,Racing,Athletic,0:4
1928-1929,1,3,2/24/29,NULL,Real Madrid,Athletic Madrid,2:1
1928-1929,1,4,3/3/29,NULL,Real Unión,Athletic Madrid,1:2
1928-1929,1,4,3/3/29,NULL,Real Madrid,Donostia,2:1
1928-1929,1,4,3/3/29,NULL,Espanyol,Racing,3:0
1928-1929,1,4,3/3/29,NULL,Barcelona,Arenas Club,2:2
1928-1929,1,4,3/3/29,NULL,Athletic,Catalunya,2:0
1928-1929,1,5,3/10/29,NULL,Catalunya,Real Unión,3:3
1928-1929,1,5,3/10/29,NULL,Athletic Madrid,Barcelona,4:1
1928-1929,1,5,3/10/29,NULL,Racing,Real Madrid,1:3
1928-1929,1,5,3/10/29,NULL,Donostia,Espanyol,1:1
1928-1929,1,5,3/10/29,NULL,Arenas Club,Athletic,1:0
1928-1929,1,6,3/24/29,NULL,Espanyol,Real Madrid,4:0
1928-1929,1,6,3/24/29,NULL,Real Unión,Athletic,6:3
1928-1929,1,6,3/24/29,NULL,Arenas Club,Donostia,3:0
1928-1929,1,6,3/24/29,NULL,Athletic Madrid,Racing,4:0
1928-1929,1,6,3/24/29,NULL,Barcelona,Catalunya,5:2
1928-1929,1,7,3/31/29,NULL,Donostia,Racing,8:1
1928-1929,1,7,3/31/29,NULL,Espanyol,Arenas Club,1:2
1928-1929,1,7,3/31/29,NULL,Catalunya,Athletic Madrid,4:1
1928-1929,1,7,3/31/29,NULL,Athletic,Barcelona,5:1
1928-1929,1,7,3/31/29,NULL,Real Madrid,Real Unión,2:0
1928-1929,1,8,4/7/29,NULL,Arenas Club,Real Madrid,3:2
1928-1929,1,8,4/7/29,NULL,Athletic Madrid,Athletic,2:3
1928-1929,1,8,4/7/29,NULL,Barcelona,Espanyol,1:0
1928-1929,1,8,4/7/29,NULL,Real Unión,Donostia,2:3
1928-1929,1,8,4/7/29,NULL,Racing,Catalunya,3:2
1928-1929,1,9,4/21/29,NULL,Arenas Club,Racing,2:1
1928-1929,1,9,4/21/29,NULL,Real Unión,Barcelona,1:2
1928-1929,1,9,4/21/29,NULL,Real Madrid,Athletic,5:1
1928-1929,1,9,4/21/29,NULL,Espanyol,Athletic Madrid,3:2
1928-1929,1,9,4/21/29,NULL,Catalunya,Donostia,4:3
1928-1929,1,10,4/28/29,NULL,Real Unión,Espanyol,4:3
1928-1929,1,10,4/28/29,NULL,Athletic,Donostia,4:2
1928-1929,1,10,4/28/29,NULL,Barcelona,Racing,5:1
1928-1929,1,10,4/28/29,NULL,Athletic Madrid,Arenas Club,1:2
1928-1929,1,10,4/28/29,NULL,Catalunya,Real Madrid,5:2
1928-1929,1,11,5/5/29,NULL,Espanyol,Athletic,4:1
1928-1929,1,11,5/5/29,NULL,Racing,Real Unión,1:3
1928-1929,1,11,5/5/29,NULL,Arenas Club,Catalunya,2:2
1928-1929,1,11,5/9/29,NULL,Real Madrid,Barcelona,0:1
1928-1929,1,11,5/9/29,NULL,Donostia,Athletic Madrid,3:3
1928-1929,1,12,5/9/29,NULL,Catalunya,Espanyol,0:3
1928-1929,1,12,5/12/29,NULL,Athletic,Racing,0:0
1928-1929,1,12,5/19/29,NULL,Athletic Madrid,Real Unión,3:1
1928-1929,1,12,5/19/29,NULL,Donostia,Real Madrid,5:4
1928-1929,1,12,6/30/29,NULL,Arenas Club,Barcelona,0:2
1928-1929,1,13,5/26/29,NULL,Barcelona,Athletic Madrid,4:0
1928-1929,1,13,5/26/29,NULL,Espanyol,Donostia,1:1
1928-1929,1,13,5/26/29,NULL,Real Madrid,Racing,2:2
1928-1929,1,13,5/26/29,NULL,Athletic,Arenas Club,2:3
1928-1929,1,13,5/26/29,NULL,Real Unión,Catalunya,2:3
1928-1929,1,14,5/12/29,NULL,Real Unión,Arenas Club,7:1
1928-1929,1,14,5/30/29,NULL,Athletic Madrid,Real Madrid,0:3
1928-1929,1,14,5/30/29,NULL,Barcelona,Donostia,1:0
1928-1929,1,14,5/30/29,NULL,Racing,Espanyol,1:1
1928-1929,1,14,5/30/29,NULL,Catalunya,Athletic,1:1
1928-1929,1,15,6/2/29,NULL,Catalunya,Barcelona,1:1
1928-1929,1,15,6/2/29,NULL,Real Madrid,Espanyol,2:0
1928-1929,1,15,6/2/29,NULL,Racing,Athletic Madrid,1:2
1928-1929,1,15,6/2/29,NULL,Donostia,Arenas Club,3:2
1928-1929,1,15,6/2/29,NULL,Athletic,Real Unión,2:1
1928-1929,1,16,6/9/29,NULL,Arenas Club,Espanyol,3:0
1928-1929,1,16,6/9/29,NULL,Racing,Donostia,6:1
1928-1929,1,16,6/9/29,NULL,Barcelona,Athletic,3:0
1928-1929,1,16,6/9/29,NULL,Real Unión,Real Madrid,0:2
1928-1929,1,16,6/9/29,NULL,Athletic Madrid,Catalunya,5:4
1928-1929,1,17,6/16/29,NULL,Espanyol,Barcelona,1:1
1928-1929,1,17,6/16/29,NULL,Athletic,Athletic Madrid,3:3
1928-1929,1,17,6/16/29,NULL,Catalunya,Racing,4:1
1928-1929,1,17,6/16/29,NULL,Real Madrid,Arenas Club,2:0
1928-1929,1,17,6/16/29,NULL,Donostia,Real Unión,3:2
1928-1929,1,18,6/23/29,NULL,Donostia,Catalunya,5:4
1928-1929,1,18,6/23/29,NULL,Athletic,Real Madrid,2:0
1928-1929,1,18,6/23/29,NULL,Athletic Madrid,Espanyol,7:1
1928-1929,1,18,6/23/29,NULL,Racing,Arenas Club,5:1
1928-1929,1,18,6/23/29,NULL,Barcelona,Real Unión,4:1
1929-1930,1,1,12/1/29,NULL,Athletic Madrid,Catalunya,5:3
1929-1930,1,1,12/1/29,NULL,Athletic,Real Madrid,2:1
1929-1930,1,1,12/1/29,NULL,Barcelona,Donostia,3:0
1929-1930,1,1,12/1/29,NULL,Racing,Espanyol,4:1
1929-1930,1,1,12/1/29,NULL,Real Unión,Arenas Club,3:2
1929-1930,1,2,12/8/29,NULL,Arenas Club,Barcelona,1:3
1929-1930,1,2,12/8/29,NULL,Catalunya,Athletic,2:2
1929-1930,1,2,12/8/29,NULL,Espanyol,Athletic Madrid,1:0
1929-1930,1,2,12/8/29,NULL,Donostia,Racing,7:0
1929-1930,1,2,12/8/29,NULL,Real Madrid,Real Unión,2:2
1929-1930,1,3,12/15/29,NULL,Athletic Madrid,Real Madrid,2:1
1929-1930,1,3,12/15/29,NULL,Barcelona,Catalunya,2:1
1929-1930,1,3,12/15/29,NULL,Racing,Arenas Club,2:5
1929-1930,1,3,12/15/29,NULL,Real Unión,Espanyol,3:3
1929-1930,1,3,12/15/29,NULL,Athletic,Donostia,2:2
1929-1930,1,4,12/22/29,NULL,Donostia,Real Madrid,4:0
1929-1930,1,4,12/22/29,NULL,Espanyol,Athletic,2:2
1929-1930,1,4,12/22/29,NULL,Barcelona,Racing,5:0
1929-1930,1,4,12/22/29,NULL,Athletic Madrid,Real Unión,3:3
1929-1930,1,4,12/22/29,NULL,Arenas Club,Catalunya,2:3
1929-1930,1,5,12/29/29,NULL,Catalunya,Donostia,3:2
1929-1930,1,5,12/29/29,NULL,Arenas Club,Athletic,3:3
1929-1930,1,5,12/29/29,NULL,Real Unión,Barcelona,1:3
1929-1930,1,5,12/29/29,NULL,Racing,Athletic Madrid,3:2
1929-1930,1,5,12/29/29,NULL,Real Madrid,Espanyol,2:4
1929-1930,1,6,1/5/30,NULL,Barcelona,Athletic Madrid,4:2
1929-1930,1,6,1/5/30,NULL,Real Madrid,Racing,6:0
1929-1930,1,6,1/5/30,NULL,Donostia,Arenas Club,4:4
1929-1930,1,6,1/5/30,NULL,Athletic,Real Unión,5:2
1929-1930,1,6,1/9/30,NULL,Espanyol,Catalunya,1:2
1929-1930,1,7,1/12/30,NULL,Arenas Club,Espanyol,2:0
1929-1930,1,7,1/12/30,NULL,Athletic Madrid,Donostia,1:1
1929-1930,1,7,1/12/30,NULL,Barcelona,Athletic,1:1
1929-1930,1,7,1/12/30,NULL,Catalunya,Real Madrid,1:2
1929-1930,1,7,1/12/30,NULL,Real Unión,Racing,6:3
1929-1930,1,8,1/19/30,NULL,Espanyol,Barcelona,4:0
1929-1930,1,8,1/19/30,NULL,Athletic,Athletic Madrid,6:1
1929-1930,1,8,1/19/30,NULL,Real Madrid,Arenas Club,5:2
1929-1930,1,8,1/19/30,NULL,Donostia,Real Unión,2:3
1929-1930,1,8,1/19/30,NULL,Racing,Catalunya,6:0
1929-1930,1,9,1/26/30,NULL,Catalunya,Real Unión,0:1
1929-1930,1,9,1/26/30,NULL,Barcelona,Real Madrid,1:4
1929-1930,1,9,1/26/30,NULL,Donostia,Espanyol,1:0
1929-1930,1,9,1/26/30,NULL,Athletic,Racing,4:0
1929-1930,1,9,1/26/30,NULL,Athletic Madrid,Arenas Club,1:3
1929-1930,1,10,2/2/30,NULL,Real Madrid,Athletic,2:3
1929-1930,1,10,2/2/30,NULL,Catalunya,Athletic Madrid,2:0
1929-1930,1,10,2/2/30,NULL,Espanyol,Racing,3:0
1929-1930,1,10,2/2/30,NULL,Arenas Club,Real Unión,7:2
1929-1930,1,10,2/2/30,NULL,Donostia,Barcelona,1:2
1929-1930,1,11,2/9/30,NULL,Real Unión,Real Madrid,2:2
1929-1930,1,11,2/9/30,NULL,Racing,Donostia,2:0
1929-1930,1,11,2/9/30,NULL,Barcelona,Arenas Club,3:1
1929-1930,1,11,2/9/30,NULL,Athletic,Catalunya,3:0
1929-1930,1,11,2/12/30,NULL,Athletic Madrid,Espanyol,2:0
1929-1930,1,12,2/16/30,NULL,Catalunya,Barcelona,0:3
1929-1930,1,12,2/16/30,NULL,Espanyol,Real Unión,3:1
1929-1930,1,12,2/16/30,NULL,Arenas Club,Racing,5:1
1929-1930,1,12,2/16/30,NULL,Donostia,Athletic,1:7
1929-1930,1,12,2/16/30,NULL,Real Madrid,Athletic Madrid,4:1
1929-1930,1,13,2/23/30,NULL,Racing,Barcelona,2:1
1929-1930,1,13,2/23/30,NULL,Athletic,Espanyol,6:0
1929-1930,1,13,2/23/30,NULL,Real Unión,Athletic Madrid,8:2
1929-1930,1,13,2/23/30,NULL,Real Madrid,Donostia,1:1
1929-1930,1,13,2/23/30,NULL,Catalunya,Arenas Club,1:2
1929-1930,1,14,3/2/30,NULL,Athletic,Arenas Club,5:2
1929-1930,1,14,3/2/30,NULL,Athletic Madrid,Racing,3:1
1929-1930,1,14,3/2/30,NULL,Donostia,Catalunya,2:0
1929-1930,1,14,3/5/30,NULL,Barcelona,Real Unión,4:2
1929-1930,1,14,3/5/30,NULL,Espanyol,Real Madrid,8:1
1929-1930,1,15,3/9/30,NULL,Racing,Real Madrid,2:0
1929-1930,1,15,3/9/30,NULL,Athletic Madrid,Barcelona,3:2
1929-1930,1,15,3/9/30,NULL,Real Unión,Athletic,1:1
1929-1930,1,15,3/9/30,NULL,Catalunya,Espanyol,1:2
1929-1930,1,15,3/9/30,NULL,Arenas Club,Donostia,3:1
1929-1930,1,16,3/16/30,NULL,Espanyol,Arenas Club,1:0
1929-1930,1,16,3/16/30,NULL,Racing,Real Unión,4:2
1929-1930,1,16,3/16/30,NULL,Donostia,Athletic Madrid,2:0
1929-1930,1,16,3/16/30,NULL,Athletic,Barcelona,4:3
1929-1930,1,16,3/16/30,NULL,Real Madrid,Catalunya,6:1
1929-1930,1,17,3/22/30,NULL,Catalunya,Racing,5:0
1929-1930,1,17,3/23/30,NULL,Arenas Club,Real Madrid,5:1
1929-1930,1,17,3/23/30,NULL,Athletic Madrid,Athletic,3:4
1929-1930,1,17,3/23/30,NULL,Barcelona,Espanyol,5:4
1929-1930,1,17,3/23/30,NULL,Real Unión,Donostia,3:2
1929-1930,1,18,3/30/30,NULL,Real Unión,Catalunya,3:4
1929-1930,1,18,3/30/30,NULL,Real Madrid,Barcelona,5:1
1929-1930,1,18,3/30/30,NULL,Racing,Athletic,2:3
1929-1930,1,18,3/30/30,NULL,Arenas Club,Athletic Madrid,2:1
1929-1930,1,18,3/30/30,NULL,Espanyol,Donostia,3:1
1930-1931,1,1,12/7/30,NULL,Real Madrid,Espanyol,2:0
1930-1931,1,1,12/7/30,NULL,Donostia,Alavés,2:2
1930-1931,1,1,12/7/30,NULL,Arenas Club,Real Unión,1:2
1930-1931,1,1,12/7/30,NULL,Racing,Catalunya,2:1
1930-1931,1,1,12/7/30,NULL,Barcelona,Athletic,6:3
1930-1931,1,2,12/14/30,NULL,Catalunya,Barcelona,2:2
1930-1931,1,2,12/14/30,NULL,Athletic,Donostia,6:1
1930-1931,1,2,12/14/30,NULL,Espanyol,Racing,4:1
1930-1931,1,2,12/14/30,NULL,Alavés,Arenas Club,3:2
1930-1931,1,2,1/27/31,NULL,Real Unión,Real Madrid,1:1
1930-1931,1,3,12/21/30,NULL,Arenas Club,Real Madrid,4:1
1930-1931,1,3,12/21/30,NULL,Catalunya,Real Unión,2:1
1930-1931,1,3,12/21/30,NULL,Alavés,Espanyol,4:1
1930-1931,1,3,12/21/30,NULL,Donostia,Barcelona,4:1
1930-1931,1,3,12/21/30,NULL,Racing,Athletic,4:1
1930-1931,1,4,12/25/30,NULL,Real Madrid,Catalunya,3:1
1930-1931,1,4,12/28/30,NULL,Real Unión,Donostia,2:4
1930-1931,1,4,12/28/30,NULL,Barcelona,Racing,1:1
1930-1931,1,4,12/28/30,NULL,Espanyol,Arenas Club,5:0
1930-1931,1,4,12/28/30,NULL,Athletic,Alavés,7:1
1930-1931,1,5,1/4/31,NULL,Real Madrid,Alavés,1:0
1930-1931,1,5,1/4/31,NULL,Catalunya,Athletic,2:1
1930-1931,1,5,1/4/31,NULL,Arenas Club,Barcelona,5:0
1930-1931,1,5,1/4/31,NULL,Racing,Donostia,2:5
1930-1931,1,5,1/4/31,NULL,Real Unión,Espanyol,6:1
1930-1931,1,6,1/11/31,NULL,Racing,Real Madrid,3:0
1930-1931,1,6,1/11/31,NULL,Barcelona,Espanyol,6:2
1930-1931,1,6,1/11/31,NULL,Athletic,Arenas Club,5:2
1930-1931,1,6,1/11/31,NULL,Alavés,Real Unión,3:1
1930-1931,1,6,1/11/31,NULL,Donostia,Catalunya,3:1
1930-1931,1,7,1/18/31,NULL,Arenas Club,Donostia,1:3
1930-1931,1,7,1/18/31,NULL,Alavés,Racing,2:5
1930-1931,1,7,1/18/31,NULL,Real Madrid,Athletic,0:6
1930-1931,1,7,1/18/31,NULL,Real Unión,Barcelona,1:1
1930-1931,1,7,1/18/31,NULL,Espanyol,Catalunya,4:0
1930-1931,1,8,1/25/31,NULL,Donostia,Real Madrid,2:1
1930-1931,1,8,1/25/31,NULL,Athletic,Espanyol,5:1
1930-1931,1,8,1/25/31,NULL,Catalunya,Arenas Club,1:4
1930-1931,1,8,1/25/31,NULL,Barcelona,Alavés,1:1
1930-1931,1,8,1/25/31,NULL,Racing,Real Unión,4:1
1930-1931,1,9,2/1/31,NULL,Alavés,Catalunya,2:0
1930-1931,1,9,2/1/31,NULL,Real Madrid,Barcelona,0:0
1930-1931,1,9,2/1/31,NULL,Real Unión,Athletic,2:3
1930-1931,1,9,2/1/31,NULL,Espanyol,Donostia,1:0
1930-1931,1,9,2/1/31,NULL,Arenas Club,Racing,4:2
1930-1931,1,10,2/8/31,NULL,Athletic,Barcelona,12:1
1930-1931,1,10,2/8/31,NULL,Alavés,Donostia,1:2
1930-1931,1,10,2/8/31,NULL,Catalunya,Racing,1:2
1930-1931,1,10,2/8/31,NULL,Real Unión,Arenas Club,2:2
1930-1931,1,10,2/8/31,NULL,Espanyol,Real Madrid,1:1
1930-1931,1,11,2/15/31,NULL,Donostia,Athletic,1:0
1930-1931,1,11,2/15/31,NULL,Racing,Espanyol,4:0
1930-1931,1,11,2/15/31,NULL,Arenas Club,Alavés,1:1
1930-1931,1,11,2/15/31,NULL,Real Madrid,Real Unión,3:0
1930-1931,1,11,2/15/31,NULL,Barcelona,Catalunya,0:2
1930-1931,1,12,2/22/31,NULL,Barcelona,Donostia,5:1
1930-1931,1,12,2/22/31,NULL,Real Unión,Catalunya,4:3
1930-1931,1,12,2/22/31,NULL,Espanyol,Alavés,2:0
1930-1931,1,12,2/22/31,NULL,Athletic,Racing,7:1
1930-1931,1,12,2/22/31,NULL,Real Madrid,Arenas Club,1:2
1930-1931,1,13,3/1/31,NULL,Catalunya,Real Madrid,0:3
1930-1931,1,13,3/1/31,NULL,Racing,Barcelona,0:1
1930-1931,1,13,3/1/31,NULL,Alavés,Athletic,1:4
1930-1931,1,13,3/1/31,NULL,Arenas Club,Espanyol,1:0
1930-1931,1,13,3/1/31,NULL,Donostia,Real Unión,3:3
1930-1931,1,14,3/8/31,NULL,Donostia,Racing,4:7
1930-1931,1,14,3/8/31,NULL,Athletic,Catalunya,4:1
1930-1931,1,14,3/8/31,NULL,Espanyol,Real Unión,4:2
1930-1931,1,14,3/8/31,NULL,Alavés,Real Madrid,2:0
1930-1931,1,14,3/8/31,NULL,Barcelona,Arenas Club,2:0
1930-1931,1,15,3/14/31,NULL,Catalunya,Donostia,2:1
1930-1931,1,15,3/15/31,NULL,Arenas Club,Athletic,3:2
1930-1931,1,15,3/15/31,NULL,Real Madrid,Racing,0:0
1930-1931,1,15,3/15/31,NULL,Real Unión,Alavés,4:1
1930-1931,1,15,3/17/31,NULL,Espanyol,Barcelona,4:4
1930-1931,1,16,3/22/31,NULL,Donostia,Arenas Club,4:1
1930-1931,1,16,3/22/31,NULL,Racing,Alavés,4:0
1930-1931,1,16,3/22/31,NULL,Catalunya,Espanyol,3:1
1930-1931,1,16,3/22/31,NULL,Athletic,Real Madrid,2:4
1930-1931,1,16,3/22/31,NULL,Barcelona,Real Unión,5:3
1930-1931,1,17,3/29/31,NULL,Alavés,Barcelona,1:1
1930-1931,1,17,3/29/31,NULL,Espanyol,Athletic,0:4
1930-1931,1,17,3/29/31,NULL,Real Madrid,Donostia,2:0
1930-1931,1,17,3/29/31,NULL,Real Unión,Racing,4:3
1930-1931,1,17,3/29/31,NULL,Arenas Club,Catalunya,1:0
1930-1931,1,18,4/5/31,NULL,Athletic,Real Unión,1:2
1930-1931,1,18,4/5/31,NULL,Barcelona,Real Madrid,3:1
1930-1931,1,18,4/5/31,NULL,Donostia,Espanyol,2:1
1930-1931,1,18,4/5/31,NULL,Racing,Arenas Club,4:1
1930-1931,1,18,4/5/31,NULL,Catalunya,Alavés,1:0
1931-1932,1,1,11/22/31,NULL,Real Madrid,Athletic,1:1
1931-1932,1,1,11/22/31,NULL,Espanyol,Valencia,3:0
1931-1932,1,1,11/22/31,NULL,Arenas Club,Donostia,2:1
1931-1932,1,1,11/22/31,NULL,Alavés,Racing,1:2
1931-1932,1,1,11/22/31,NULL,Real Unión,Barcelona,1:3
1931-1932,1,2,11/29/31,NULL,Donostia,Real Madrid,1:2
1931-1932,1,2,11/29/31,NULL,Racing,Espanyol,2:1
1931-1932,1,2,11/29/31,NULL,Barcelona,Arenas Club,2:2
1931-1932,1,2,11/29/31,NULL,Athletic,Alavés,3:2
1931-1932,1,2,11/29/31,NULL,Valencia,Real Unión,5:1
1931-1932,1,3,12/20/31,NULL,Valencia,Real Madrid,1:1
1931-1932,1,3,12/20/31,NULL,Arenas Club,Racing,3:1
1931-1932,1,3,12/20/31,NULL,Alavés,Donostia,1:2
1931-1932,1,3,12/20/31,NULL,Espanyol,Barcelona,0:3
1931-1932,1,3,12/20/31,NULL,Real Unión,Athletic,1:5
1931-1932,1,4,12/27/31,NULL,Athletic,Barcelona,3:0
1931-1932,1,4,12/27/31,NULL,Donostia,Valencia,7:1
1931-1932,1,4,12/27/31,NULL,Espanyol,Arenas Club,4:2
1931-1932,1,4,12/27/31,NULL,Real Madrid,Alavés,5:0
1931-1932,1,4,12/27/31,NULL,Racing,Real Unión,2:2
1931-1932,1,5,1/3/32,NULL,Valencia,Athletic,0:0
1931-1932,1,5,1/3/32,NULL,Arenas Club,Real Madrid,2:2
1931-1932,1,5,1/3/32,NULL,Donostia,Real Unión,5:0
1931-1932,1,5,1/3/32,NULL,Barcelona,Racing,4:2
1931-1932,1,5,1/6/32,NULL,Alavés,Espanyol,4:1
1931-1932,1,6,1/10/32,NULL,Real Madrid,Espanyol,3:0
1931-1932,1,6,1/10/32,NULL,Racing,Valencia,4:1
1931-1932,1,6,1/10/32,NULL,Athletic,Donostia,5:1
1931-1932,1,6,1/10/32,NULL,Real Unión,Arenas Club,1:0
1931-1932,1,6,1/10/32,NULL,Barcelona,Alavés,6:0
1931-1932,1,7,1/17/32,NULL,Valencia,Barcelona,0:0
1931-1932,1,7,1/17/32,NULL,Donostia,Racing,1:5
1931-1932,1,7,1/17/32,NULL,Arenas Club,Alavés,4:2
1931-1932,1,7,1/17/32,NULL,Espanyol,Athletic,1:0
1931-1932,1,7,1/17/32,NULL,Real Madrid,Real Unión,3:2
1931-1932,1,8,1/24/32,NULL,Racing,Real Madrid,0:0
1931-1932,1,8,1/24/32,NULL,Real Unión,Espanyol,4:1
1931-1932,1,8,1/24/32,NULL,Alavés,Valencia,2:1
1931-1932,1,8,1/24/32,NULL,Barcelona,Donostia,2:0
1931-1932,1,8,1/24/32,NULL,Athletic,Arenas Club,4:1
1931-1932,1,9,1/31/32,NULL,Real Unión,Alavés,0:2
1931-1932,1,9,1/31/32,NULL,Real Madrid,Barcelona,2:0
1931-1932,1,9,1/31/32,NULL,Espanyol,Donostia,2:0
1931-1932,1,9,1/31/32,NULL,Athletic,Racing,3:2
1931-1932,1,9,1/31/32,NULL,Valencia,Arenas Club,3:2
1931-1932,1,10,2/7/32,NULL,Valencia,Espanyol,3:1
1931-1932,1,10,2/7/32,NULL,Donostia,Arenas Club,7:0
1931-1932,1,10,2/7/32,NULL,Racing,Alavés,1:1
1931-1932,1,10,2/7/32,NULL,Barcelona,Real Unión,3:2
1931-1932,1,10,2/7/32,NULL,Athletic,Real Madrid,3:3
1931-1932,1,11,2/14/32,NULL,Arenas Club,Barcelona,1:3
1931-1932,1,11,2/14/32,NULL,Alavés,Athletic,0:1
1931-1932,1,11,2/14/32,NULL,Real Madrid,Donostia,1:0
1931-1932,1,11,2/16/32,NULL,Real Unión,Valencia,3:2
1931-1932,1,11,2/16/32,NULL,Espanyol,Racing,6:1
1931-1932,1,12,2/21/32,NULL,Barcelona,Espanyol,2:2
1931-1932,1,12,2/21/32,NULL,Athletic,Real Unión,2:1
1931-1932,1,12,2/21/32,NULL,Donostia,Alavés,4:1
1931-1932,1,12,2/21/32,NULL,Real Madrid,Valencia,4:1
1931-1932,1,12,2/21/32,NULL,Racing,Arenas Club,1:1
1931-1932,1,13,2/28/32,NULL,Alavés,Real Madrid,0:1
1931-1932,1,13,2/28/32,NULL,Barcelona,Athletic,1:3
1931-1932,1,13,2/28/32,NULL,Arenas Club,Espanyol,3:2
1931-1932,1,13,2/28/32,NULL,Valencia,Donostia,4:0
1931-1932,1,13,2/28/32,NULL,Real Unión,Racing,2:2
1931-1932,1,14,3/6/32,NULL,Real Unión,Donostia,2:0
1931-1932,1,14,3/6/32,NULL,Athletic,Valencia,7:2
1931-1932,1,14,3/6/32,NULL,Espanyol,Alavés,4:0
1931-1932,1,14,3/6/32,NULL,Real Madrid,Arenas Club,4:0
1931-1932,1,14,3/6/32,NULL,Racing,Barcelona,3:2
1931-1932,1,15,3/13/32,NULL,Espanyol,Real Madrid,1:2
1931-1932,1,15,3/13/32,NULL,Alavés,Barcelona,1:3
1931-1932,1,15,3/13/32,NULL,Donostia,Athletic,3:2
1931-1932,1,15,3/13/32,NULL,Valencia,Racing,6:4
1931-1932,1,15,3/13/32,NULL,Arenas Club,Real Unión,5:0
1931-1932,1,16,3/20/32,NULL,Barcelona,Valencia,3:2
1931-1932,1,16,3/20/32,NULL,Racing,Donostia,2:1
1931-1932,1,16,3/20/32,NULL,Athletic,Espanyol,4:0
1931-1932,1,16,3/20/32,NULL,Real Unión,Real Madrid,1:1
1931-1932,1,16,3/20/32,NULL,Alavés,Arenas Club,3:1
1931-1932,1,17,3/27/32,NULL,Donostia,Barcelona,0:1
1931-1932,1,17,3/27/32,NULL,Arenas Club,Athletic,2:1
1931-1932,1,17,3/27/32,NULL,Real Madrid,Racing,0:0
1931-1932,1,17,3/27/32,NULL,Valencia,Alavés,5:1
1931-1932,1,17,3/27/32,NULL,Espanyol,Real Unión,3:1
1931-1932,1,18,4/3/32,NULL,Alavés,Real Unión,1:0
1931-1932,1,18,4/3/32,NULL,Barcelona,Real Madrid,2:2
1931-1932,1,18,4/3/32,NULL,Racing,Athletic,2:0
1931-1932,1,18,4/3/32,NULL,Donostia,Espanyol,5:2
1931-1932,1,18,4/3/32,NULL,Arenas Club,Valencia,4:1
1932-1933,1,1,11/27/32,NULL,Donostia,Barcelona,2:2
1932-1933,1,1,11/27/32,NULL,Athletic,Real Betis,9:1
1932-1933,1,1,11/27/32,NULL,Alavés,Racing,8:2
1932-1933,1,1,11/27/32,NULL,Valencia,Arenas Club,3:2
1932-1933,1,1,11/27/32,NULL,Espanyol,Real Madrid,2:1
1932-1933,1,2,12/4/32,NULL,Racing,Athletic,0:1
1932-1933,1,2,12/4/32,NULL,Arenas Club,Espanyol,0:2
1932-1933,1,2,12/4/32,NULL,Real Betis,Valencia,3:2
1932-1933,1,2,12/4/32,NULL,Real Madrid,Donostia,6:2
1932-1933,1,2,12/4/32,NULL,Barcelona,Alavés,2:0
1932-1933,1,3,12/11/32,NULL,Alavés,Real Madrid,0:1
1932-1933,1,3,12/11/32,NULL,Athletic,Arenas Club,3:1
1932-1933,1,3,12/11/32,NULL,Valencia,Barcelona,2:2
1932-1933,1,3,12/11/32,NULL,Espanyol,Racing,2:1
1932-1933,1,3,12/12/32,NULL,Real Betis,Donostia,4:2
1932-1933,1,4,12/18/32,NULL,Athletic,Espanyol,0:2
1932-1933,1,4,12/18/32,NULL,Racing,Valencia,2:0
1932-1933,1,4,12/18/32,NULL,Real Madrid,Real Betis,4:1
1932-1933,1,4,12/18/32,NULL,Barcelona,Arenas Club,5:2
1932-1933,1,4,12/18/32,NULL,Donostia,Alavés,3:1
1932-1933,1,5,12/25/32,NULL,Arenas Club,Racing,2:1
1932-1933,1,5,12/25/32,NULL,Alavés,Athletic,0:2
1932-1933,1,5,12/25/32,NULL,Real Betis,Barcelona,2:1
1932-1933,1,5,12/25/32,NULL,Espanyol,Donostia,3:0
1932-1933,1,5,12/25/32,NULL,Real Madrid,Valencia,6:0
1932-1933,1,6,1/1/33,NULL,Barcelona,Real Madrid,1:1
1932-1933,1,6,1/1/33,NULL,Donostia,Athletic,2:4
1932-1933,1,6,1/1/33,NULL,Valencia,Espanyol,1:1
1932-1933,1,6,1/1/33,NULL,Racing,Real Betis,2:2
1932-1933,1,6,1/1/33,NULL,Arenas Club,Alavés,3:0
1932-1933,1,7,1/8/33,NULL,Real Madrid,Racing,4:1
